"";"pos_dist_m";"gps_lon";"gps_lat";"velocity_kmh";"acc_lat"
"144";-17,8;11,6489738;48,0833909;28,472;0,03
"145";-17;11,6489691;48,0833968;27,544;-0,06
"146";-16,2;11,6489643;48,0834026;26,813;0,09
"147";-15,5;11,6489599;48,0834082;25,758;-0,08
"148";-14,8;11,6489553;48,0834133;24,48;0,14
"149";-14,2;11,6489509;48,0834183;23,598;0,07
"150";-13,5;11,6489468;48,0834231;22,615;0
"151";-12,9;11,6489429;48,0834278;21,877;-0,03
"152";-12,3;11,6489391;48,0834323;21,002;-0,01
"153";-11,7;11,6489353;48,0834366;20,311;0,02
"154";-11,2;11,6489317;48,0834405;19,062;0,07
"155";-10,7;11,6489283;48,0834446;18,806;-0,07
"156";-10,1;11,6489248;48,0834483;17,924;0,11
"157";-9,7;11,6489216;48,0834519;16,97;0,02
"158";-9,2;11,6489187;48,0834555;16,466;-0,09
"159";-8,7;11,6489156;48,0834587;15,732;0,08
"160";-8,3;11,6489127;48,0834618;14,836;0,04
"161";-7,9;11,6489102;48,0834649;14,191;-0,07
"162";-7,5;11,6489074;48,0834676;13,522;0,1
"163";-7,2;11,648905;48,0834703;12,715;-0,02
"164";-6,8;11,6489028;48,0834729;11,992;0
"165";-6,5;11,6489006;48,0834753;11,556;-0,02
"166";-6,2;11,6488985;48,0834776;10,861;0,02
"167";-5,9;11,6488966;48,0834797;9,958;0,01
"168";-5,6;11,6488946;48,0834818;9,832;0,02
"169";-5,4;11,6488929;48,0834836;8,867;0
"170";-5,1;11,6488911;48,0834854;8,694;0,03
"171";-4,9;11,6488896;48,0834871;8,204;-0,01
"172";-4,7;11,6488879;48,0834888;7,877;0,01
"173";-4,4;11,6488863;48,0834906;8,24;-0,01
"174";-4,2;11,6488849;48,0834923;7,909;-0,03
"175";-4;11,6488833;48,0834941;7,985;0,02
"176";-3,8;11,6488816;48,0834957;7,981;0,05
"177";-3,5;11,6488801;48,0834975;7,996;-0,04
"178";-3,3;11,6488785;48,0834993;8,186;-0,01
"179";-3,1;11,6488769;48,0835009;7,88;0,01
"180";-2,9;11,6488753;48,0835027;8,23;0,01
"181";-2,6;11,6488736;48,0835045;8,269;-0,01
"182";-2,4;11,6488718;48,0835064;8,626;0,01
"183";-2,2;11,64887;48,0835083;8,784;0,01
"184";-1,9;11,6488681;48,0835103;9,259;0
"185";-1,7;11,6488661;48,0835125;10,109;-0,02
"186";-1,4;11,6488639;48,0835149;10,807;0
"187";-1,1;11,6488614;48,0835173;11,412;0,03
"188";-0,7;11,6488589;48,08352;12,226;-0,02
"189";-0,4;11,6488563;48,0835227;12,877;-0,01
"190";0;11,6488534;48,0835257;13,817;0,01
"191";0,4;11,6488504;48,0835288;14,317;0,01
"192";0,8;11,6488472;48,0835321;15,224;-0,03
"193";1,2;11,6488439;48,0835354;15,754;0,04
"194";1,7;11,6488404;48,083539;16,668;-0,01
"195";2,2;11,6488368;48,0835426;17,291;0
"196";2,7;11,6488329;48,0835465;18,115;0,03
"197";3,2;11,6488289;48,0835504;18,817;0,02
"198";3,7;11,6488248;48,0835546;19,523;-0,02
"199";4,2;11,6488205;48,0835588;20,279;0,02
"200";4,8;11,6488161;48,0835632;20,747;-0,02
"201";5,4;11,6488114;48,0835677;21,629;0,05
"202";6;11,6488066;48,0835723;22,097;0,03
"203";6,6;11,6488018;48,083577;22,727;-0,01
"204";7,3;11,6487966;48,0835818;23,501;0,05
"205";7,9;11,6487914;48,0835867;23,893;0,01
"206";8,6;11,6487861;48,0835918;24,484;0
"207";9,3;11,6487806;48,083597;25,153;0,04
